Tipo,Nombre,Codigo,EntidadFederativa,Latitud,Longitud,Altitud
SMNEMAS,ALTZOMONI,MX42,ESTADODEMEXICO,19.1186111111,-98.655,4007
SMNEMAS,C.BIOLOG.IPN,DF05,DISTRITOFEDERAL,19.4402777778,-99.0766666667,2075
SMNEMAS,CD.ALTAMIRANO,GR02,GUERRERO,18.3505555556,-100.6583333333,251
SMNEMAS,CEMCAS,MX09,ESTADODEMEXICO,19.4797222222,-98.9736111111,2176
SMNEMAS,ECOGUARDAS,DF06,DISTRITOFEDERAL,19.2713888889,-99.2038888889,2200
SMNEMAS,ELCHICO,HI18,HIDALGO,20.1855555556,-98.7161111111,3004
SMNEMAS,"ENCB.II,IPN",DF07,DISTRITOFEDERAL,19.4986111111,-99.1452777778,2240
SMNEMAS,HUAMANTLA,TL01,TLAXCALA,19.3861111111,-97.9663888889,2222
SMNEMAS,HUAUCHINANGO,PU04,PUEBLA,20.1780555556,-98.0663888889,2193
SMNEMAS,HUICHAPAN,HI03,HIDALGO,20.3886111111,-99.6638888889,0
SMNEMAS,HUIMILPAN,QO01,QUERETARO,20.39,-100.2833333333,2280
SMNEMAS,IGUALA,GR04,GUERRERO,18.3602777778,-99.5241666667,780
SMNEMAS,IMTA,MO01,MORELOS,18.8822222222,-99.1569444444,1355
SMNEMAS,IZTA-POPO,MX20,ESTADODEMEXICO,19.0955555556,-98.6430555556,3682
SMNEMAS,IZUCARMATAM.,PU02,PUEBLA,18.6166666667,-98.4519444444,1353
SMNEMAS,L.DEZEMPOALA,MO06,MORELOS,19.0533333333,-99.3127777778,2820
SMNEMAS,LAMALINCHEI,TL04,TLAXCALA,19.2975,-98.0441666667,2931
SMNEMAS,LAMALINCHEII,PU06,PUEBLA,19.1408333333,-98.0322222222,2748
SMNEMAS,M.MONARCAI,MC36,MICHOACAN,19.6708333333,-100.2775,3255
SMNEMAS,M.MONARCAII,MC37,MICHOACAN,19.5388888889,-100.29,2970
SMNEMAS,PACHUCA,HI01,HIDALGO,20.0969444444,-98.7141666667,2423
SMNEMAS,SIERRAHUAUTLA,MO05,MORELOS,18.5413888889,-98.9361111111,1330
SMNEMAS,TEPOZTLAN,MO02,MORELOS,18.9508333333,-99.0788888889,1384
SMNEMAS,TEZONTLE,DF04,DISTRITOFEDERAL,19.3852777778,-99.0997222222,2358
SMNEMAS,TRESMARIAS,MO04,MORELOS,19.0505555556,-99.2486111111,2839
SMNEMAS,U.T.TECAMACHALC,PU01,PUEBLA,18.8663888889,-97.7216666667,2047
SMNEMAS,VALLEDEBRAVO,MX43,ESTADODEMEXICO,19.3755555556,-100.0847222222,2476
